date,route,ticket_type,fare,bus_id,ticket_id,buyer_id,amount,issue_time,expiry_time,terminal,qr_path
2026-01-01,East-West,USSD,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-03,,,,,,,
2026-01-01,East-West,QR,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,East-West,Smart Card,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-02,,,,,,,
2026-01-01,East-West,Smart Card,200.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-01,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-01,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-03,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-03,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Smart Card,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Smart Card,200.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Smart Card,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Smart Card,200.0,BRT-02,,,,,,,
2026-01-01,East-West,Smart Card,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-01,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-01,,,,,,,
2026-01-01,East-West,Smart Card,200.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-03,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-02,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-01,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Smart Card,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-03,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-02,,,,,,,
2026-01-01,North-South,Smart Card,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,QR,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-01,,,,,,,
2026-01-01,East-West,QR,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Smart Card,200.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Smart Card,200.0,BRT-01,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-02,,,,,,,
2026-01-01,East-West,QR,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-03,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-01,,,,,,,
2026-01-01,East-West,Smart Card,500.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-03,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-01,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-01,,,,,,,
2026-01-01,North-South,Smart Card,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-02,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-03,,,,,,,
2026-01-01,North-South,Smart Card,500.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Smart Card,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,QR,500.0,BRT-03,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-01,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,QR,500.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Smart Card,200.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Smart Card,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-02,,,,,,,
2026-01-01,East-West,Smart Card,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-02,,,,,,,
2026-01-01,East-West,Smart Card,500.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Smart Card,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Smart Card,500.0,BRT-02,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-02,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Smart Card,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,Smart Card,200.0,BRT-02,,,,,,,
2026-01-01,North-South,Smart Card,200.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Smart Card,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Smart Card,200.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-02,,,,,,,
2026-01-01,East-West,Smart Card,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,QR,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,QR,500.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-02,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Smart Card,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,QR,500.0,BRT-01,,,,,,,
2026-01-01,East-West,Smart Card,200.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Smart Card,200.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,500.0,BRT-03,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-01,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-03,,,,,,,
2026-01-01,East-West,Smart Card,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-03,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-01,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,QR,500.0,BRT-02,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-01,,,,,,,
2026-01-01,Central Loop,QR,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,QR,500.0,BRT-01,,,,,,,
2026-01-01,East-West,QR,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-01,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-02,,,,,,,
2026-01-01,East-West,Smart Card,200.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-03,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-01,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Smart Card,200.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Smart Card,500.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,200.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-03,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-01,,,,,,,
2026-01-01,East-West,QR,200.0,BRT-01,,,,,,,
2026-01-01,East-West,QR,200.0,BRT-03,,,,,,,
2026-01-01,East-West,QR,200.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,USSD,200.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,200.0,BRT-02,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-01,,,,,,,
2026-01-01,North-South,Smart Card,200.0,BRT-03,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-01,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-01,,,,,,,
2026-01-01,East-West,Smart Card,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-02,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-01,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-02,,,,,,,
2026-01-01,North-South,USSD,200.0,BRT-01,,,,,,,
2026-01-01,North-South,QR,500.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,QR,500.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-02,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,500.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-02,,,,,,,
2026-01-01,Central Loop,Cash,200.0,BRT-02,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-02,,,,,,,
2026-01-01,East-West,QR,500.0,BRT-03,,,,,,,
2026-01-01,Central Loop,QR,200.0,BRT-03,,,,,,,
2026-01-01,East-West,Cash,200.0,BRT-03,,,,,,,
2026-01-01,Central Loop,Cash,500.0,BRT-01,,,,,,,
2026-01-01,North-South,Cash,500.0,BRT-03,,,,,,,
2026-01-01,North-South,Cash,200.0,BRT-02,,,,,,,
2026-01-01,East-West,USSD,500.0,BRT-01,,,,,,,
2026-01-01,North-South,USSD,500.0,BRT-03,,,,,,,
2025-12-31,Central Loop,QR,200.0,BRT-01,,,,,,,
2025-12-31,Central Loop,USSD,200.0,BRT-03,,,,,,,
2025-12-31,East-West,Cash,500.0,BRT-03,,,,,,,
2025-12-31,North-South,USSD,200.0,BRT-02,,,,,,,
2025-12-31,North-South,USSD,500.0,BRT-02,,,,,,,
2025-12-31,North-South,USSD,500.0,BRT-03,,,,,,,
2025-12-31,East-West,USSD,500.0,BRT-02,,,,,,,
2025-12-31,East-West,USSD,500.0,BRT-03,,,,,,,
2025-12-31,North-South,Cash,500.0,BRT-02,,,,,,,
2025-12-31,Central Loop,Smart Card,200.0,BRT-01,,,,,,,
2025-12-31,Central Loop,USSD,500.0,BRT-03,,,,,,,
